donation_id,region,donation_year,donation_date,donor_full_name,donor_type,amount,political_party,party_leader,leader_change
1,Federal,2010,2010-01-01,HBPHCxbGjR,Individuals,95.11,Conservative Party of Canada,Leader 1,FALSE
2,Federal,2010,2010-01-02,NzenHVnilZ,Individuals,129.85,Conservative Party of Canada,Leader 1,FALSE
3,Federal,2010,2010-01-02,DIxntUEcdl,Individuals,219.02,New Democratic Party,Leader 1,FALSE
4,Federal,2010,2010-01-02,mhgenSwjJT,Individuals,442.88,Conservative Party of Canada,Leader 1,FALSE
5,Federal,2010,2010-01-03,fFiJMtEoOQ,Individuals,284.75,Liberal Party of Canada,Leader 1,FALSE
6,Federal,2010,2010-01-06,PHVBnpFLRs,Individuals,86.02,Conservative Party of Canada,Leader 1,FALSE
7,Federal,2010,2010-01-06,edrkwtRGKd,Individuals,6.54,Liberal Party of Canada,Leader 1,FALSE
8,Federal,2010,2010-01-07,rqlwTLkFDl,Individuals,1.62,Liberal Party of Canada,Leader 1,FALSE
9,Federal,2010,2010-01-07,OpYCoXYmhT,Individuals,146.35,Liberal Party of Canada,Leader 1,FALSE
10,Federal,2010,2010-01-07,avjlqAvPod,Individuals,36.88,New Democratic Party,Leader 1,FALSE
11,Federal,2010,2010-01-09,FThfkNFHmq,Individuals,230.51,Liberal Party of Canada,Leader 1,FALSE
12,Federal,2010,2010-01-11,qyVypuCRoT,Individuals,413.3,Conservative Party of Canada,Leader 1,FALSE
13,Federal,2010,2010-01-12,FjWarffQpr,Individuals,43.63,Conservative Party of Canada,Leader 1,FALSE
14,Federal,2010,2010-01-13,trpFHvBvRo,Individuals,202.33,New Democratic Party,Leader 1,FALSE
15,Federal,2010,2010-01-13,WVsoWegVmh,Individuals,128.88,Conservative Party of Canada,Leader 1,FALSE
16,Federal,2010,2010-01-14,witVjoyrvb,Individuals,822.85,Liberal Party of Canada,Leader 1,FALSE
17,Federal,2010,2010-01-14,EksTWXrkJU,Individuals,151.95,New Democratic Party,Leader 1,FALSE
18,Federal,2010,2010-01-15,KsMCtVLmxm,Individuals,113.6,New Democratic Party,Leader 1,FALSE
19,Federal,2010,2010-01-15,pUaMXFNwyO,Individuals,437.34,Liberal Party of Canada,Leader 1,FALSE
20,Federal,2010,2010-01-16,qKMTeSxdxl,Individuals,6.87,Liberal Party of Canada,Leader 1,FALSE
21,Federal,2010,2010-01-17,XbnMdjsbWu,Individuals,59.84,Liberal Party of Canada,Leader 1,FALSE
22,Federal,2010,2010-01-17,JXkXNuiHey,Individuals,849.03,Conservative Party of Canada,Leader 1,FALSE
23,Federal,2010,2010-01-18,vLbFYAELHg,Individuals,3.54,Conservative Party of Canada,Leader 1,FALSE
24,Federal,2010,2010-01-18,LulLpmyHOZ,Individuals,20.77,New Democratic Party,Leader 1,FALSE
25,Federal,2010,2010-01-19,AOVaVEevCF,Individuals,53.27,New Democratic Party,Leader 1,FALSE
26,Federal,2010,2010-01-19,JgYkcudKvP,Individuals,326.91,Liberal Party of Canada,Leader 1,FALSE
27,Federal,2010,2010-01-20,goupZYXJRP,Individuals,379.09,Liberal Party of Canada,Leader 1,FALSE
28,Federal,2010,2010-01-21,FoLtJLHtbZ,Individuals,139.78,Conservative Party of Canada,Leader 1,FALSE
29,Federal,2010,2010-01-21,zZIJRbzkmj,Individuals,107.25,Conservative Party of Canada,Leader 1,FALSE
30,Federal,2010,2010-01-22,ZbnKxHLWxp,Individuals,214.18,New Democratic Party,Leader 1,FALSE
31,Federal,2010,2010-01-23,eGnyWyEdjk,Individuals,638.09,New Democratic Party,Leader 1,FALSE
32,Federal,2010,2010-01-24,dUeOUOKYNv,Individuals,350.06,Liberal Party of Canada,Leader 1,FALSE
33,Federal,2010,2010-01-25,sQuOrVcvhR,Individuals,119.14,Liberal Party of Canada,Leader 1,FALSE
34,Federal,2010,2010-01-27,HQGfZrHXec,Individuals,218.42,Conservative Party of Canada,Leader 1,FALSE
35,Federal,2010,2010-01-28,hQAOZfcgKI,Individuals,314.14,Conservative Party of Canada,Leader 1,FALSE
36,Federal,2010,2010-01-28,jYJbSxwIsX,Individuals,58.23,Liberal Party of Canada,Leader 1,FALSE
37,Federal,2010,2010-01-29,trvMOEjLOt,Individuals,102.69,New Democratic Party,Leader 1,FALSE
38,Federal,2010,2010-01-30,zaZUjVDNoh,Individuals,113.67,Liberal Party of Canada,Leader 1,FALSE
39,Federal,2010,2010-01-30,MmmXmxsJhL,Individuals,46.53,Liberal Party of Canada,Leader 1,FALSE
40,Federal,2010,2010-01-30,vjFCbmhXwi,Individuals,9.66,Liberal Party of Canada,Leader 1,FALSE
41,Federal,2010,2010-02-02,yDfAejkXyd,Individuals,81.31,New Democratic Party,Leader 1,FALSE
42,Federal,2010,2010-02-02,bmcsyeRnjO,Individuals,1020.8,New Democratic Party,Leader 1,FALSE
43,Federal,2010,2010-02-03,xoGVZfaHbV,Individuals,141.17,Liberal Party of Canada,Leader 1,FALSE
44,Federal,2010,2010-02-03,vjIkrjipIt,Individuals,30.19,Conservative Party of Canada,Leader 1,FALSE
45,Federal,2010,2010-02-04,nDBwomcGmO,Individuals,218.52,Liberal Party of Canada,Leader 1,FALSE
46,Federal,2010,2010-02-04,ofpgnteqnV,Individuals,1061.97,New Democratic Party,Leader 1,FALSE
47,Federal,2010,2010-02-05,kfnFPWYnpj,Individuals,136.3,Conservative Party of Canada,Leader 1,FALSE
48,Federal,2010,2010-02-06,FMuPYuKKSW,Individuals,642.18,Liberal Party of Canada,Leader 1,FALSE
49,Federal,2010,2010-02-06,CkYpqWMkjc,Individuals,421.77,Liberal Party of Canada,Leader 1,FALSE
50,Federal,2010,2010-02-06,IEaGCWuJHt,Individuals,265.53,Liberal Party of Canada,Leader 1,FALSE
51,Federal,2010,2010-02-07,qzugjsoznh,Individuals,56.28,Liberal Party of Canada,Leader 1,FALSE
52,Federal,2010,2010-02-08,MOVMspgari,Individuals,365.06,Conservative Party of Canada,Leader 1,FALSE
53,Federal,2010,2010-02-10,KOtyDTiBNx,Individuals,211.61,New Democratic Party,Leader 1,FALSE
54,Federal,2010,2010-02-13,oeCNAMONWW,Individuals,355.88,New Democratic Party,Leader 1,FALSE
55,Federal,2010,2010-02-14,lHxCAClfJV,Individuals,1316.92,Liberal Party of Canada,Leader 1,FALSE
56,Federal,2010,2010-02-15,DTMVxjRpfN,Individuals,21.15,New Democratic Party,Leader 1,FALSE
57,Federal,2010,2010-02-16,bfscHNLXQh,Individuals,16.6,Liberal Party of Canada,Leader 1,FALSE
58,Federal,2010,2010-02-16,HqtvNewLAd,Individuals,12.3,New Democratic Party,Leader 1,FALSE
59,Federal,2010,2010-02-16,YVgsmCFQQF,Individuals,213.05,New Democratic Party,Leader 1,FALSE
60,Federal,2010,2010-02-17,BOcCKlJuZI,Individuals,244.23,Liberal Party of Canada,Leader 1,FALSE
61,Federal,2010,2010-02-17,mgxYdTRfZC,Individuals,307.23,New Democratic Party,Leader 1,FALSE
